latency,duration,type,marker_value,key,timestamp,marker_id
0.117194,10.141158,sensor_check,true,-1,1665020992.150455,1
0.117194,0.000000,published_date,2022-09-30T20:32:20.653884Z,-1,1665020992.150455,2
10.453675,29.243727,sound_check,true,-1,1665021002.486936,3
39.713028,43.939812,phase_Calibration_phase_1,34042,-1,1665021031.746289,4
45.432079,15.008602,eyesopen_element_sumb,NULL,-1,1665021037.465340,5
66.386306,15.000790,eyesclose_element_fw4p,NULL,-1,1665021058.419567,6
83.668466,58.815595,phase_Video_+_valence_+_arousal+_dominance,34058,-1,1665021075.701727,7
83.793472,656.354855,active_period,active_period,-1,1665021075.826733,8
83.793472,31.509471,video_element_v20,NULL,-1,1665021075.826733,9
115.302943,11.570922,question_element_valence,NULL,-1,1665021107.336204,10
125.284739,0.000000,mousedown,NULL,0,1665021117.318000,10
126.920742,9.383306,question_element_arousal,NULL,-1,1665021118.954003,11
133.455739,0.000000,mousedown,NULL,0,1665021125.489000,11
136.311861,6.172200,question_element_dominance,NULL,-1,1665021128.345122,12
141.453739,0.000000,mousedown,NULL,0,1665021133.487000,12
142.491874,53.276241,phase_Video_+_valence_+_arousal+_dominance,34051,-1,1665021134.525135,13
142.710636,37.494160,video_element_v14,NULL,-1,1665021134.743897,14
180.212609,4.195534,question_element_valence,NULL,-1,1665021172.245870,15
183.323739,0.000000,mousedown,NULL,0,1665021175.357000,15
184.415955,5.617483,question_element_arousal,NULL,-1,1665021176.449216,16
188.596739,0.000000,mousedown,NULL,0,1665021180.630000,16
190.033438,5.734677,question_element_dominance,NULL,-1,1665021182.066699,17
193.379739,0.000000,mousedown,NULL,0,1665021185.413000,17
195.783741,50.408903,phase_Video_+_valence_+_arousal+_dominance,34053,-1,1665021187.817002,18
195.932187,36.064397,video_element_v16,NULL,-1,1665021187.965448,19
232.004397,6.883175,question_element_valence,NULL,-1,1665021224.037658,20
234.786739,0.000000,mousedown,NULL,0,1665021226.820000,20
236.935739,0.000000,mousedown,NULL,0,1665021228.969000,20
238.887572,3.890830,question_element_arousal,NULL,-1,1665021230.920833,21
241.236739,0.000000,mousedown,NULL,0,1665021233.270000,21
242.786215,3.406429,question_element_dominance,NULL,-1,1665021234.819476,22
245.252739,0.000000,mousedown,NULL,0,1665021237.286000,22
246.208270,53.557506,phase_Video_+_valence_+_arousal+_dominance,34055,-1,1665021238.241531,23
246.286399,30.439102,video_element_v18,NULL,-1,1665021238.319660,24
276.733314,5.445599,question_element_valence,NULL,-1,1665021268.766575,25
281.201739,0.000000,mousedown,NULL,0,1665021273.235000,25
282.178913,5.258089,question_element_arousal,NULL,-1,1665021274.212174,26
286.552739,0.000000,mousedown,NULL,0,1665021278.586000,26
287.437002,12.328774,question_element_dominance,NULL,-1,1665021279.470263,27
298.422739,0.000000,mousedown,NULL,0,1665021290.456000,27
299.781402,91.762641,phase_Video_+_valence_+_arousal+_dominance,34060,-1,1665021291.814663,28
299.828279,77.097808,video_element_v19,NULL,-1,1665021291.861540,29
376.933900,5.625295,question_element_valence,NULL,-1,1665021368.967161,30
381.592739,0.000000,mousedown,NULL,0,1665021373.626000,30
382.567008,3.937708,question_element_arousal,NULL,-1,1665021374.600269,31
385.545739,0.000000,mousedown,NULL,0,1665021377.579000,31
386.512529,5.031514,question_element_dominance,NULL,-1,1665021378.545790,32
390.551739,0.000000,mousedown,NULL,0,1665021382.585000,32
391.559669,49.830748,phase_Video_+_valence_+_arousal+_dominance,34049,-1,1665021383.592930,33
391.606547,38.939549,video_element_v12,NULL,-1,1665021383.639808,34
430.561722,3.945520,question_element_valence,NULL,-1,1665021422.594983,35
433.284739,0.000000,mousedown,NULL,0,1665021425.318000,35
434.515055,3.281423,question_element_arousal,NULL,-1,1665021426.548316,36
436.960739,0.000000,mousedown,NULL,0,1665021428.994000,36
437.804290,3.586127,question_element_dominance,NULL,-1,1665021429.837551,37
440.423739,0.000000,mousedown,NULL,0,1665021432.457000,37
441.406043,52.635582,phase_Video_+_valence_+_arousal+_dominance,34050,-1,1665021433.439304,38
441.452920,38.939549,video_element_v13,NULL,-1,1665021433.486181,39
480.408095,3.500184,question_element_valence,NULL,-1,1665021472.441356,40
482.904739,0.000000,mousedown,NULL,0,1665021474.938000,40
483.916092,6.828484,question_element_arousal,NULL,-1,1665021475.949353,41
489.712739,0.000000,mousedown,NULL,0,1665021481.746000,41
490.744576,3.297049,question_element_dominance,NULL,-1,1665021482.777837,42
493.144739,0.000000,mousedown,NULL,0,1665021485.178000,42
494.049438,61.690746,phase_Video_+_valence_+_arousal+_dominance,34052,-1,1665021486.082699,43
494.104128,39.127060,video_element_v15,NULL,-1,1665021486.137389,44
533.223375,5.281528,question_element_valence,NULL,-1,1665021525.256636,45
537.282739,0.000000,mousedown,NULL,0,1665021529.316000,45
538.497090,9.469248,question_element_arousal,NULL,-1,1665021530.530351,46
547.079739,0.000000,mousedown,NULL,0,1665021539.113000,46
